TEMP,B,power,SETP,TIME
301.16,0.08355,0.3,300.36,217.8542070388794
301.16,0.08355,0.3,300.37,219.88866066932678
301.17,0.0835576,0.3,300.37,221.92550325393677
301.17,0.0835652,0.3,300.37,223.9500081539154
301.17,0.0835729,0.3,300.38,225.99351334571838
301.18,0.0835881,0.3,300.38,228.01912689208984
301.18,0.0835958,0.3,300.38,230.04677629470825
301.18,0.0836034,0.3,300.39,232.08426141738892
301.19,0.0836034,0.3,300.39,234.1153860092163
301.19,0.083611,0.3,300.39,236.14699721336365
301.19,0.0836186,0.3,300.4,238.18885731697083
301.2,0.0836263,0.3,300.4,240.21194982528687
301.2,0.0836339,0.3,300.4,242.2466049194336
301.2,0.0836568,0.3,300.41,244.2744677066803
301.21,0.0836568,0.3,300.41,246.30509233474731
301.21,0.0836644,0.3,300.41,248.3345992565155
301.21,0.083672,0.3,300.42,250.37048935890198
301.22,0.0836797,0.3,300.42,252.3969807624817
301.22,0.0836873,0.3,300.42,254.4291307926178
301.22,0.0836949,0.3,300.43,256.4688639640808
301.23,0.0837026,0.3,300.43,258.4954843521118
301.23,0.0837102,0.3,300.43,260.52763772010803
301.23,0.0837178,0.3,300.44,262.5552456378937
301.24,0.0837255,0.3,300.44,264.59591603279114
301.24,0.0837331,0.3,300.44,266.6257743835449
301.24,0.0837407,0.3,300.45,268.6566393375397
301.25,0.0837483,0.3,300.45,270.6900188922882
301.25,0.083756,0.3,300.45,272.7178723812103
301.25,0.0837636,0.3,300.46,274.7482464313507
301.26,0.0837636,0.3,300.46,276.77722668647766
301.26,0.0837407,0.3,300.46,278.8045139312744
301.26,0.0837483,0.3,300.47,280.8302023410797
301.27,0.083756,0.3,300.47,282.8617014884949
301.27,0.0837636,0.3,300.47,284.8953721523285
301.27,0.0837636,0.3,300.48,286.9219341278076
301.27,0.0837712,0.3,300.48,288.9500529766083
301.28,0.0837789,0.3,300.48,290.9930627346039
301.28,0.0837865,0.3,300.49,293.0187397003174
301.28,0.0838017,0.3,300.49,295.05326986312866
301.29,0.0838094,0.3,300.5,297.0929102897644
