TEMP,B,power,SETP,TIME
300.95,0.059268247336,300.95,293,0.3656301498413086
300.94,0.05924397707,300.94,293,2.384253740310669
300.94,0.059219360352,300.94,293,4.4036149978637695
300.96,0.059219378978,300.96,293,6.41969108581543
300.99,0.059218384326,300.99,293,8.444754362106323
301.02,0.059215039015,301.02,293,10.4596848487854
301.05,0.059212107211,301.05,293,12.4757080078125
301.08,0.059226848185,301.08,293,14.490866661071777
301.1,0.059226501733,301.1,293,16.506902933120728
301.13,0.05924282223,301.13,293,18.52303695678711
301.16,0.059257525951,301.16,293,20.536068439483643
301.18,0.059267949313,301.18,293,22.553428173065186
301.21,0.059287216514,301.21,293,24.57217288017273
301.24,0.059310138226,301.24,293,26.5900661945343
301.27,0.059329081327,301.27,293,28.60543704032898
301.3,0.059359878302,301.3,293,30.630809783935547
301.33,0.059378068894,301.33,293,32.649961948394775
301.36,0.059405423701,301.36,293,34.669671297073364
301.39,0.05943448469,301.39,293,36.68806552886963
301.42,0.059464860708,301.42,293,38.70559501647949
301.45,0.059494357556,301.45,293,40.723302602767944
301.48,0.059522677213,301.48,293,42.7418487071991
301.51,0.059556573629,301.51,293,44.75965142250061
301.54,0.059588134289,301.54,293,46.77546811103821
301.57,0.05961535126,301.57,293,48.79351568222046
301.6,0.05965218693,301.6,293,50.80634117126465
301.63,0.059692680836,301.63,293,52.82197713851929
301.66,0.059727467597,301.66,293,54.83655047416687
301.69,0.059763010591,301.69,293,56.84993839263916
301.73,0.059795208275,301.73,293,58.86308979988098
301.76,0.059839118272,301.76,293,60.88164806365967
301.79,0.059872727841,301.79,293,62.898879051208496
301.82,0.059917408973,301.82,293,64.91371417045593
301.85,0.059945937246,301.85,293,66.93716311454773
301.88,0.059999395162,301.88,293,68.94998598098755
301.91,0.060032613575,301.91,293,70.96731209754944
301.95,0.060072500259,301.95,293,72.98411297798157
301.98,0.060121785849,301.98,293,75.00679469108582
302.01,0.060154970735,302.01,293,77.02431416511536
302.04,0.060201127082,302.04,293,79.04351282119751
302.07,0.06023048237,302.07,293,81.06400513648987
302.1,0.06027681753,302.1,293,83.08208727836609
302.14,0.060319315642,302.14,293,85.09768557548523
302.17,0.060362588614,302.17,293,87.11176872253418
302.2,0.060401439667,302.2,293,89.13564443588257
302.23,0.060435511172,302.23,293,91.15185070037842
302.26,0.060480892658,302.26,293,93.1693844795227
302.3,0.060528457165,302.3,293,95.18958306312561
302.33,0.060568749905,302.33,293,97.2078504562378
302.36,0.060606498271,302.36,293,99.22404360771179
302.39,0.060648299754,302.39,293,101.24257349967957
302.43,0.060683149844,302.43,293,103.26261806488037
302.46,0.060740161687,302.46,293,105.28428053855896
302.49,0.060778982937,302.49,293,107.30476593971252
302.52,0.060827638954,302.52,293,109.32119560241699
302.56,0.060865502805,302.56,293,111.34184861183167
302.59,0.060903944075,302.59,293,113.3625864982605
302.62,0.060951899737,302.62,293,115.38003277778625
302.65,0.060997612774,302.65,293,117.39635562896729
302.68,0.061032462865,302.68,293,119.4154589176178
302.72,0.061078645289,302.72,293,121.437668800354
302.75,0.061124291271,302.75,293,123.45293378829956
302.78,0.061181791127,302.78,293,125.47673201560974
302.81,0.061213683337,302.81,293,127.50482249259949
302.85,0.061249382794,302.85,293,129.5241105556488
302.88,0.061296965927,302.88,293,131.54080963134766
302.91,0.061339773238,302.91,293,133.5590341091156
302.94,0.061383284628,302.94,293,135.57749962806702
302.98,0.061422992498,302.98,293,137.5928418636322
303.01,0.06147551164,303.01,293,139.60876035690308
303.04,0.06151374802,303.04,293,141.62557649612427
303.07,0.061562664807,303.07,293,143.64538669586182
303.11,0.061601575464,303.11,293,145.66078209877014
303.14,0.061649996787,303.14,293,147.67893362045288
303.17,0.06169012934,303.17,293,149.69319128990173
303.2,0.061729073524,303.2,293,151.70638632774353
303.23,0.061776548624,303.23,293,153.7247016429901
303.27,0.061822485179,303.27,293,155.73934602737427
303.3,0.061866432428,303.3,293,157.7563877105713
303.33,0.061910141259,303.33,293,159.77537989616394
303.36,0.061952229589,303.36,293,161.79424667358398
303.4,0.061991859227,303.4,293,163.81324934959412
303.43,0.062036652118,303.43,293,165.83637595176697
303.46,0.062086075544,303.46,293,167.85488891601562
303.49,0.06212727353,303.49,293,169.87422919273376
303.53,0.062164664268,303.53,293,171.89054489135742
303.56,0.0622119084,303.56,293,173.91261792182922
303.59,0.062253572047,303.59,293,175.94556975364685
303.63,0.062297809869,303.63,293,177.96466827392578
303.66,0.062342204154,303.66,293,179.98060631752014
303.69,0.062386769801,303.69,293,181.99461269378662
303.72,0.062430270016,303.72,293,184.00896859169006
303.75,0.062465131283,303.75,293,186.02442240715027
303.79,0.062523022294,303.79,293,188.04218983650208
303.82,0.062554821372,303.82,293,190.05830669403076
303.85,0.062595389783,303.85,293,192.0746660232544
303.89,0.062650054693,303.89,293,194.09289860725403
303.92,0.062689445913,303.92,293,196.10958456993103
303.95,0.062742985785,303.95,293,198.12896084785461
303.98,0.062783233821,303.98,293,200.1445655822754
304.02,0.06281542033,304.02,293,202.159255027771
304.05,0.062864884734,304.05,293,204.1801302433014
304.08,0.062908835709,304.08,293,206.2004005908966
304.11,0.062956310809,304.11,293,208.21998739242554
304.15,0.063005708158,304.15,293,210.24472403526306
304.18,0.063045732677,304.18,293,212.26301908493042
304.21,0.0630922243,304.21,293,214.2832498550415
304.24,0.063133239746,304.24,293,216.30042815208435
304.28,0.06317152828,304.28,293,218.31828832626343
304.31,0.063206814229,304.31,293,220.34408807754517
304.34,0.063259482384,304.34,293,222.35862851142883
304.38,0.063297383487,304.38,293,224.3774654865265
304.41,0.063344933093,304.41,293,226.39254879951477
304.44,0.063385799527,304.44,293,228.41213297843933
304.47,0.063439272344,304.47,293,230.4383156299591
304.51,0.063482835889,304.51,293,232.45480036735535
304.54,0.063521817327,304.54,293,234.4742829799652
304.57,0.063572250307,304.57,293,236.49327611923218
