Liquid	Solid	Run	No.	Left	Right	Mean	Height	Width
Water	Teflon	Water	89	 39.5	 35.7	 37.6	0.434	5.044
Water	Teflon	Water	90	 39.6	 35.7	 37.6	0.434	5.045
Water	Teflon	Water	91	 39.6	 35.7	 37.6	0.434	5.045
Water	Teflon	Water	92	 39.5	 35.6	 37.5	0.434	5.046
Water	Teflon	Water	93	 39.5	 35.7	 37.6	0.434	5.045
Water	Teflon	Water	94	 39.6	 35.7	 37.6	0.434	5.045
Water	Teflon	Water	95	 39.5	 35.6	 37.6	0.434	5.044
Water	Teflon	Water	96	 39.6	 35.6	 37.6	0.433	5.042
Water	Teflon	Water	97	 39.5	 35.6	 37.6	0.433	5.044
Water	Teflon	Water	98	 39.4	 35.6	 37.5	0.433	5.045
Water	Teflon	Water	99	 39.6	 35.6	 37.6	0.433	5.043
Water	Teflon	Water	100	 39.6	 35.6	 37.6	0.433	5.043
